Scopus,Count
National Natural Science Foundation of China,199
National Key Research and Development Program of China,28
Ministry of Science and Technology of the People's Republic of China,27
Engineering and Physical Sciences Research Council,25
U.S. Department of Energy,23
National Science Foundation,22
Ministry of Education of the People's Republic of China,20
UK Research and Innovation,18
European Commission,17
National Research Foundation of Korea,17
Natural Sciences and Engineering Research Council of Canada,17
Fundamental Research Funds for the Central Universities,16
Guangdong Innovative and Entrepreneurial Research Team Program,16
"Ministry of Science, ICT and Future Planning",15
Conselho Nacional de Desenvolvimento Científico e Tecnológico,14
Government of Canada,14
Australian Research Council,13
China Scholarship Council,13
"Ministry of Education, Culture, Sports, Science and Technology",13
"Ministry of Trade, Industry and Energy",12
Japan Society for the Promotion of Science,11
Priority Academic Program Development of Jiangsu Higher Education Institutions,11
Korea Institute of Energy Technology Evaluation and Planning,10
New Energy and Industrial Technology Development Organization,10
U.S. Department of Defense,10
China Postdoctoral Science Foundation,9
Natural Science Foundation of Zhejiang Province,8
Office of Naval Research,8
"Research Grants Council, University Grants Committee",8
Thailand Research Fund,8
Chinese Academy of Sciences,7
Department of Education and Training,7
Korea Institute of Science and Technology,7
"Ministero dell’Istruzione, dell’Università e della Ricerca",7
Ministry of Finance,7
Ministry of Knowledge Economy,7
Natural Science Foundation of Shanxi Province,7
Program for Changjiang Scholars and Innovative Research Team in University,7
Curtin University of Technology,6
"MinistÃ©rio da CiÃªncia, Tecnologia e InovaÃ§Ã£o",6
National Natural Science Foundation of China-Zhejiang Joint Fund for the Integration of Industrialization and Informatization,6
Natural Science Foundation of Shandong Province,6
Ningbo University,6
Science and Technology Department of Zhejiang Province,6
Tsinghua University,6
U.S. Navy,6
"University Research Committee, University of Hong Kong",6
University of Hong Kong,6
Changjiang Scholar Program of Chinese Ministry of Education,5
Coordenação de Aperfeiçoamento de Pessoal de Nível Superior,5
Fundação de Amparo à Pesquisa do Estado de São Paulo,5
Guangdong Science and Technology Department,5
Horizon 2020 Framework Programme,5
Japan Science and Technology Agency,5
"Ministério da Ciência, Tecnologia e Inovação",5
National Science Council,5
Natural Science Foundation of Guangdong Province,5
Natural Science Foundation of Jiangsu Province,5
Office of Science,5
Ohio Coal Development Office,5
Science and Technology Planning Project of Guangdong Province,5
Sichuan Province Science and Technology Support Program,5
Tianjin Science and Technology Committee,5
Basic Energy Sciences,4
Commonwealth Scientific and Industrial Research Organisation,4
Environment and Conservation Fund,4
European Regional Development Fund,4
Guangzhou Municipal Science and Technology Project,4
Huazhong University of Science and Technology,4
Ministry of Education,4
"Ministry of Science and ICT, South Korea",4
National High-tech Research and Development Program,4
Ohio Development Services Agency,4
Shandong University of Technology and Zibo City Integration Development Project,4
Agencia Nacional de Promoción Científica y Tecnológica,3
Applied Basic Research Foundation of Yunnan Province,3
Beijing Institute of Fashion Technology,3
Bundesministerium für Bildung und Forschung,3
Chulalongkorn University,3
Comunidad de Madrid,3
Consiglio Nazionale delle Ricerche,3
Core Research for Evolutional Science and Technology,3
Defence Science and Technology Laboratory,3
Energistyrelsen,3
Fundacja na rzecz Nauki Polskiej,3
Fuzhou University,3
Guangdong Key Laboratory of Fuel Cell Technology,3
"Guangzhou Science, Technology and Innovation Commission",3
Harbin Institute of Technology,3
Korea Institute of Machinery and Materials,3
Ministerstwo Nauki i Szkolnictwa Wyższego,3
"Ministry of Education, Science and Technology",3
"Ministry of Higher Education, Malaysia",3
Ministry of New and Renewable Energy India,3
Ministry of Science and Technology,3
Narodowe Centrum Nauki,3
National Basic Research Program of China (973 Program),3
National Energy Technology Laboratory,3
National Outstanding Youth Science Fund Project of National Natural Science Foundation of China,3
National Research Foundation,3
National Science Fund for Distinguished Young Scholars,3
Natural Science Research of Jiangsu Higher Education Institutions of China,3
Royal Society of Edinburgh,3
Seventh Framework Programme,3
Shanxi Scholarship Council of China,3
Sichuan University of Science and Engineering,3
Stanford University,3
University of Tokyo,3
Academy of Finland,2
Agence de l'Environnement et de la Maîtrise de l'Energie,2
"Agency for Science, Technology and Research",2
Allianz Industrie Forschung,2
Analysis and Testing Foundation of Kunming University of Science and Technology,2
Anhui Provincial Department of Science and Technology,2
Army Research Office,2
Bangladesh Council of Scientific and Industrial Research,2
Beijing Municipal Science and Technology Commission,2
Brigham Young University,2
Brown Coal Innovation Australia,2
Bundesministerium für Wirtschaft und Technologie,2
Centre National de la Recherche Scientifique,2
China University of Mining and Technology,2
Commission on Higher Education,2
Consejo Nacional de Investigaciones Científicas y Técnicas,2
"Council of Scientific and Industrial Research, India",2
Cranfield University,2
"David O. McKay School of Education, Brigham Young University",2
Department of Education of Liaoning Province,2
Department of Science and Technology of Sichuan Province,2
"Department of Science and Technology, Ministry of Science and Technology",2
"Department of Science and Technology, Ministry of Science and Technology, India",2
Department of Trade and Industry,2
Deutsche Forschungsgemeinschaft,2
Electric Power Research Institute,2
Financiadora de Estudos e Projetos,2
Gazi Üniversitesi,2
General Motors Corporation,2
General Motors of Canada,2
Hong Kong Polytechnic University,2
Horizon 2020,2
International Science and Technology Cooperation Programme,2
Korea Institute of Energy Research,2
Korea Science and Engineering Foundation,2
Kunming University of Science and Technology,2
Liaoning Revitalization Talents Program,2
London South Bank University,2
Luonnontieteiden ja Tekniikan Tutkimuksen Toimikunta,2
Material Corrosion and Protection Key Laboratory of Sichuan Province,2
"Ministerio de Ciencia, TecnologÃ­a e InnovaciÃ³n Productiva",2
Ministry of Education and Human Resources Development,2
Ministry of Education and Science of the Russian Federation,2
"Ministry of Science and Technology, Taiwan",2
Narodowym Centrum Nauki,2
National Aeronautics and Space Administration,2
National Metal and Materials Technology Center,2
Natural Science Foundation of Fujian Province,2
Natural Science Foundation of Jiangxi Province,2
Office of Energy Efficiency and Renewable Energy,2
Office of the Higher Education Commission,2
